n    fib(n)         method          time  
=========================================
5    5        iterative            0.000  
5    5        recursive            0.000  
5    5        recursive_memoized   0.000  
5    5        recursive_tail       0.000  
6    8        iterative            0.000  
6    8        recursive            0.000  
6    8        recursive_memoized   0.000  
6    8        recursive_tail       0.000  
7    13       iterative            0.000  
7    13       recursive            0.000  
7    13       recursive_memoized   0.000  
7    13       recursive_tail       0.000  
8    21       iterative            0.000  
8    21       recursive            0.001  
8    21       recursive_memoized   0.000  
8    21       recursive_tail       0.000  
9    34       iterative            0.000  
9    34       recursive            0.001  
9    34       recursive_memoized   0.000  
9    34       recursive_tail       0.000  
10   55       iterative            0.000  
10   55       recursive            0.002  
10   55       recursive_memoized   0.000  
10   55       recursive_tail       0.000  
11   89       iterative            0.000  
11   89       recursive            0.003  
11   89       recursive_memoized   0.000  
11   89       recursive_tail       0.000  
12   144      iterative            0.000  
12   144      recursive            0.004  
12   144      recursive_memoized   0.000  
12   144      recursive_tail       0.000  
13   233      iterative            0.000  
13   233      recursive            0.007  
13   233      recursive_memoized   0.000  
13   233      recursive_tail       0.000  
14   377      iterative            0.000  
14   377      recursive            0.011  
14   377      recursive_memoized   0.000  
14   377      recursive_tail       0.000  
15   610      iterative            0.000  
15   610      recursive            0.020  
15   610      recursive_memoized   0.000  
15   610      recursive_tail       0.000  
16   987      iterative            0.000  
16   987      recursive            0.029  
16   987      recursive_memoized   0.000  
16   987      recursive_tail       0.000  
17   1597     iterative            0.000  
17   1597     recursive            0.047  
17   1597     recursive_memoized   0.000  
17   1597     recursive_tail       0.000  
18   2584     iterative            0.000  
18   2584     recursive            0.075  
18   2584     recursive_memoized   0.000  
18   2584     recursive_tail       0.000  
19   4181     iterative            0.000  
19   4181     recursive            0.123  
19   4181     recursive_memoized   0.000  
19   4181     recursive_tail       0.000  
20   6765     iterative            0.000  
20   6765     recursive            0.194  
20   6765     recursive_memoized   0.000  
20   6765     recursive_tail       0.000  
21   10946    iterative            0.000  
21   10946    recursive            0.314  
21   10946    recursive_memoized   0.000  
21   10946    recursive_tail       0.000  
22   17711    iterative            0.000  
22   17711    recursive            0.503  
22   17711    recursive_memoized   0.000  
22   17711    recursive_tail       0.000  
23   28657    iterative            0.000  
23   28657    recursive            0.828  
23   28657    recursive_memoized   0.000  
23   28657    recursive_tail       0.000  
24   46368    iterative            0.000  
24   46368    recursive            1.326  
24   46368    recursive_memoized   0.000  
24   46368    recursive_tail       0.000  
25   75025    iterative            0.000  
25   75025    recursive            2.162  
25   75025    recursive_memoized   0.000  
25   75025    recursive_tail       0.000  
26   121393   iterative            0.000  
26   121393   recursive            3.477  
26   121393   recursive_memoized   0.000  
26   121393   recursive_tail       0.000  
27   196418   iterative            0.000  
27   196418   recursive            5.673  
27   196418   recursive_memoized   0.000  
27   196418   recursive_tail       0.000  
28   317811   iterative            0.000  
28   317811   recursive            9.289  
28   317811   recursive_memoized   0.000  
28   317811   recursive_tail       0.000  
29   514229   iterative            0.000  
29   514229   recursive            15.088 
29   514229   recursive_memoized   0.000  
29   514229   recursive_tail       0.000  
30   832040   iterative            0.000  
30   832040   recursive            24.397 
30   832040   recursive_memoized   0.000  
30   832040   recursive_tail       0.000  
