 n      fib(n)           method         time  
=============================================
5     5            iterative            0.000 
5     5            recursive            0.000 
5     5            recursive_memoized   0.000 
5     5            recursive_tail       0.000 
6     8            iterative            0.000 
6     8            recursive            0.000 
6     8            recursive_memoized   0.000 
6     8            recursive_tail       0.000 
7     13           iterative            0.000 
7     13           recursive            0.000 
7     13           recursive_memoized   0.000 
7     13           recursive_tail       0.000 
8     21           iterative            0.000 
8     21           recursive            0.001 
8     21           recursive_memoized   0.000 
8     21           recursive_tail       0.000 
9     34           iterative            0.000 
9     34           recursive            0.001 
9     34           recursive_memoized   0.000 
9     34           recursive_tail       0.000 
10    55           iterative            0.000 
10    55           recursive            0.002 
10    55           recursive_memoized   0.000 
10    55           recursive_tail       0.000 
11    89           iterative            0.000 
11    89           recursive            0.003 
11    89           recursive_memoized   0.000 
11    89           recursive_tail       0.000 
12    144          iterative            0.000 
12    144          recursive            0.004 
12    144          recursive_memoized   0.000 
12    144          recursive_tail       0.000 
13    233          iterative            0.000 
13    233          recursive            0.007 
13    233          recursive_memoized   0.000 
13    233          recursive_tail       0.000 
14    377          iterative            0.000 
14    377          recursive            0.012 
14    377          recursive_memoized   0.000 
14    377          recursive_tail       0.000 
15    610          iterative            0.000 
15    610          recursive            0.019 
15    610          recursive_memoized   0.000 
15    610          recursive_tail       0.000 
16    987          iterative            0.000 
16    987          recursive            0.030 
16    987          recursive_memoized   0.000 
16    987          recursive_tail       0.000 
17    1597         iterative            0.000 
17    1597         recursive            0.047 
17    1597         recursive_memoized   0.000 
17    1597         recursive_tail       0.000 
18    2584         iterative            0.000 
18    2584         recursive            0.075 
18    2584         recursive_memoized   0.000 
18    2584         recursive_tail       0.000 
19    4181         iterative            0.000 
19    4181         recursive            0.119 
19    4181         recursive_memoized   0.000 
19    4181         recursive_tail       0.000 
20    6765         iterative            0.000 
20    6765         recursive            0.192 
20    6765         recursive_memoized   0.000 
20    6765         recursive_tail       0.000 
21    10946        iterative            0.000 
21    10946        recursive            0.310 
21    10946        recursive_memoized   0.000 
21    10946        recursive_tail       0.000 
22    17711        iterative            0.000 
22    17711        recursive            0.514 
22    17711        recursive_memoized   0.000 
22    17711        recursive_tail       0.000 
23    28657        iterative            0.000 
23    28657        recursive            0.839 
23    28657        recursive_memoized   0.000 
23    28657        recursive_tail       0.000 
